TEAM,REGION,SEED,AdjEM,AdjO,AdjD,AdjT,Luck,SchAdjEM,SchOppO,SchOppD,NonConfSchAdjEM
Duke,E,1,30.62,120,89.3,72.1,0.018,12.85,110.7,97.8,5.08
Michigan St.,E,2,30.81,121,90.2,66.9,0.001,13.67,110.6,96.9,3.24
LSU,E,3,20.22,117.7,97.5,70,0.063,10.02,109.3,99.3,2.77
Virginia Tech,E,4,24.07,118.1,94,63.7,-0.005,8.47,108.3,99.9,-6.26
Mississippi St.,E,5,20.04,117.7,97.6,67.8,-0.038,10.09,110.1,100,2.22
Maryland,E,6,19.29,113.4,94.1,66,-0.004,10.75,109.8,99.1,-4.92
Louisville,E,7,19.35,113.7,94.4,67.2,-0.06,11.95,110.4,98.4,5.36
VCU,E,8,14.89,104.3,89.5,68.4,0.007,1.37,105.2,103.8,3.6
UCF,E,9,16.51,112.1,95.6,65,0.011,4.99,105.9,100.9,-3.71
Minnesota,E,10,14.35,111.4,97,67.4,0.086,12.18,110.2,98,-2.91
Belmont,E,11,14.09,115.6,101.5,71.3,0.025,-1.98,103.6,105.6,3.78
Liberty,E,12,11.54,111.1,99.6,62.3,0.009,-3.27,102.5,105.8,-3.2
Saint Louis,E,13,6.02,102.2,96.2,66.4,0.044,0.49,104.4,103.9,-1.44
Yale,E,14,8.79,111.6,102.8,71,0.041,-1.1,103,104.2,-2.09
Bradley,E,15,0.09,101.5,101.4,65.3,0.035,-1.66,102.6,104.3,-3.94
North Dakota St.,E,16,-3.2,107.4,110.6,65,0.064,-2.85,104.8,107.6,3.23
North Carolina,M,1,27.69,119.7,92,74.3,0.024,12.6,110.7,98.1,5.69
Kentucky,M,2,27.57,117.6,90.1,65.6,0.033,11.32,110.7,99.4,1.75
Houston,M,3,24.13,115.3,91.2,66.1,0.039,4.45,105.7,101.3,-4.16
Kansas,M,4,21.57,113.9,92.3,70.1,0.076,14.13,111.8,97.7,10.36
Auburn,M,5,25,120.9,95.9,67.9,0.008,12.23,110.7,98.5,2.63
Iowa St.,M,6,22.09,118.9,96.8,67.7,-0.063,10.78,109.3,98.5,-1.56
Wofford,M,7,20.69,118.1,97.4,65.7,0.046,1.82,106,104.2,8.37
Utah St.,M,8,15.41,112.6,97.2,68.1,0.012,0.02,104.5,104.4,0.81
Washington,M,9,14.28,107.7,93.5,66,0.088,6.06,107.6,101.5,2.73
Seton Hall,M,10,11.5,109,97.5,69.1,0.023,8.54,109.2,100.7,3.58
Ohio St.,M,11,14.66,109.1,94.4,65.8,0.013,11.68,110.4,98.8,-2.95
New Mexico St.,M,12,13.62,113,99.3,65.9,0.042,-3.44,102.8,106.2,-3.22
Northeastern,M,13,7.59,111,103.4,66.2,0.05,-0.63,106.3,106.9,6.45
