TEAM,REGION,SEED,AdjEM,AdjO,AdjD,AdjT,Luck,SchAdjEM,SchOppO,SchOppD,NonConfSchAdjEM
Gonzaga,W,1,38.05,126.8,88.8,74.8,0.018,7.82,105.7,97.9,5.99
Michigan,E,1,32.22,120.1,87.9,66.8,0.026,16.87,111.3,94.5,2.99
Illinois,M,1,32.04,119.7,87.6,70.7,0.03,18.88,112.6,93.7,9.95
Baylor,S,1,30.93,124,93,68.4,0.05,9.57,106.4,96.9,-4.18
Iowa,W,2,30.33,124.2,93.9,70,-0.028,16.91,110.3,93.4,-5.43
Houston,M,2,30.25,119.6,89.4,64.9,-0.009,6.57,103.7,97.1,1.63
Ohio St.,S,2,26.85,123,96.1,67.1,0.003,18.78,111.7,92.9,2.86
Alabama,E,2,26.42,112.4,86,73.9,0.031,14.2,109.7,95.5,8.88
Loyola Chicago,M,8,25.18,111.1,85.9,64.2,-0.02,4.11,104.3,100.2,4.7
Wisconsin,S,9,24.08,113.2,89.1,64.9,-0.049,18.06,111.7,93.7,1.22
Virginia,W,4,24.08,116.3,92.3,60.1,0.046,12.02,109.6,97.6,0.28
Villanova,S,5,24.05,119.3,95.3,65.1,-0.006,12.99,108.8,95.9,7.33
Purdue,S,4,23.7,114.3,90.6,66.5,0.019,17.27,111.5,94.2,5.71
USC,W,6,23.65,113.6,89.9,67.3,-0.006,11.13,108.1,97,5.03
Florida St.,E,4,23.5,117.1,93.6,70.6,-0.011,12.54,108.8,96.2,4.23
Connecticut,E,7,23.33,114.3,90.9,66,-0.066,12.6,107.9,95.3,-2.02
Colorado,E,5,23.11,115.1,92,66.4,-0.033,10.78,107.8,97,1.99
Arkansas,S,3,22.96,112.2,89.2,73.1,0.056,11.19,108.2,97,-5.28
Creighton,W,5,22.73,115.6,92.8,69.1,0.001,12.52,107.8,95.3,-1.4
San Diego St.,M,6,22.72,111.5,88.8,66.1,0.018,6.26,105.7,99.4,10.85
Tennessee,M,5,22.49,109.5,87,67.3,-0.007,12.44,108.3,95.8,-0.69
Kansas,W,3,22.46,110.3,87.9,68.3,0.042,14.71,110,95.3,10.14
Texas Tech,S,6,22.38,113.1,90.7,65.4,-0.091,11.29,108,96.7,-5.55
BYU,E,6,22.37,113.8,91.4,68,0.045,10.28,107.8,97.5,8.69
St. Bonaventure,E,9,22.25,112,89.8,65.2,0.014,8.29,105.8,97.6,2.86
Texas,E,3,22.01,114.5,92.5,69.2,0.017,14.05,109,94.9,8.32
West Virginia,M,3,21.75,116.8,95.1,69.6,-0.04,14.84,109.2,94.4,13.58
North Carolina,S,8,21.52,110.8,89.3,71.8,-0.017,14.2,110.7,96.5,7.67
LSU,E,8,21.02,120.5,99.4,70.8,0.002,13.5,107.8,94.3,0.56
Oklahoma St.,M,4,20.2,110.8,90.6,72,0.039,14.63,110.6,96,4.55
Maryland ,E,10,20.15,111.6,91.5,65.3,-0.035,17.06,110.1,93.1,-0.8
Georgia Tech,M,9,19.98,114,94.1,67.8,-0.005,12.25,108.7,96.5,-0.99
Rutgers,M,10,19.57,109.3,89.8,67.8,0.032,18.2,112.4,94.2,-5.43
Oregon,W,7,19.11,115.1,96,67.2,0.048,10.06,107.7,97.6,2.73
Florida,S,7,18.98,111.7,92.7,68.7,0.003,14.62,109.7,95.1,8.64
Oklahoma,W,8,18.07,112.1,94.1,67.7,-0.038,12.45,108.2,95.7,0.59
Utah St.,S,11,17.94,106.4,88.5,68.9,-0.032,5.13,104.8,99.7,7.49
Syracuse,M,11,17.66,114.5,96.9,69.2,0.017,11.66,108.5,96.8,2.46
Clemson,M,7,17.59,107.6,90,64.2,0.123,14.19,109.5,95.3,11.65
VCU,W,10,17.34,106.2,88.8,69.8,0.035,8.96,106.6,97.6,5.52
Virginia Tech,S,10,16.65,110.7,94.1,66.2,0.066,9.31,107.6,98.2,0.54
Missouri,W,9,16.58,110.9,94.4,68.7,0.088,15.08,109.8,94.7,9.77
Drake,W,11,16.07,114.6,98.6,66.8,0.095,2.18,102.9,100.7,-9.27
Georgetown,E,12,15.49,108.4,92.9,69.6,0.001,14.45,110.3,95.8,4.5
Michigan St.,E,11,15.44,107.7,92.2,68.6,0.106,18.16,112.5,94.3,-0.53
UC Santa Barbara,W,12,13.66,109.9,96.3,66.1,0.054,-0.54,101.4,101.9,2.48
North Texas,S,13,13.13,106.1,92.9,63.1,-0.042,4.33,103.5,99.1,5.22
Ohio,W,13,12.54,113.7,101.2,69.3,0.027,4.23,105.3,101.1,1.47
Colgate,S,14,11.65,111.6,99.9,72.5,0.05,-6.6,99.1,105.7,-99
Oregon St.,M,12,11.6,110,98.4,65.4,0.075,11.16,108.6,97.4,-6.2
Abilene Christian,E,14,11.56,103.7,92.2,70,-0.027,-8.15,97.6,105.8,4.29
Winthrop,S,12,10.37,105.8,95.4,73.6,0.032,-6.45,98.8,105.3,3.95
Liberty,M,13,9.8,110.8,101,63.1,-0.013,-6.63,98.5,105.1,1.17
UNC Greensboro,E,13,9.58,104.8,95.2,68.5,0.005,0.74,103.2,102.5,-2.77
Grand Canyon,W,15,8.41,104.2,95.8,65.5,-0.061,-4.01,100.3,104.3,0.68
Eastern Washington,W,14,8.08,108.4,100.3,72.4,-0.081,-3.21,100.6,103.8,17.77
Morehead St.,M,14,5.32,100.9,95.5,65.6,0.152,-1.99,101.4,103.4,16.33
Drexel,M,16,3.05,107.8,104.8,64.2,-0.043,-3.31,100.4,103.7,-5.56
Cleveland St.,M,15,2.8,101.5,98.7,66.3,0.19,-1.09,105,106.1,21.21
Oral Roberts,S,15,2.64,109.4,106.7,71.8,0.013,0.01,102.9,102.8,21.34
Iona,E,15,0.39,101.1,100.7,68.3,0.038,-7.05,97.4,104.4,-0.41
Hartford,S,16,-1.3,98.2,99.5,66.7,0.078,-6.24,98.2,104.4,-0.13
Norfolk St.,W,16,-2.31,101.3,103.6,67.7,0.031,-8.31,96.9,105.2,-0.73
Mount St. Mary's,E,16,-3.58,96.1,99.7,62.2,0.006,-6.06,99.4,105.5,11.52
